"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
2192.91488024149,0.930370838095727,0.0982556510541253,2.88326918156403e-22,2.34194188657489e-20,"ENSG00000106615"
3506.91316531671,1.01035478202731,0.107098374373775,3.44119082319652e-22,2.78258084860446e-20,"ENSG00000198542"
153.120046201745,-2.54988082502719,0.277512875787484,4.69813092693819e-22,3.78199539618524e-20,"ENSG00000128342"
250.457907082079,1.71931583250566,0.184831248269704,5.69440037083423e-22,4.56361899941701e-20,"ENSG00000103175"
1855.27925286963,0.979389768530925,0.104523366430635,6.4010578317996e-22,5.10725109836329e-20,"ENSG00000128699"
119.853749823762,-2.52693484916392,0.272590385897867,7.0992890939096e-22,5.63940004147039e-20,"ENSG00000116991"
1383.58704838449,0.898657153002751,0.0958901012289476,7.14050143715962e-22,5.64725973310799e-20,"ENSG00000120690"
1772.54117030296,1.58837994305372,0.172952634163285,1.04394606922988e-21,8.2202775198049e-20,"ENSG00000111859"
87.3227602014942,-2.45304009964216,0.265163831345948,1.06560386678223e-21,8.35433431557268e-20,"ENSG00000100784"
643.19435301813,1.37511259758618,0.148624610903613,1.14214249882169e-21,8.9156335665596e-20,"ENSG00000169218"
47.3529312582661,3.81757288822358,0.410652751894863,1.25040101465573e-21,9.71863409322076e-20,"ENSG00000173838"
468.253700030145,1.09431784721896,0.118036846333222,1.54738090873237e-21,1.1975267187237e-19,"ENSG00000185813"
2493.9626123254,-1.2765687980466,0.138824024453666,1.60528248594454e-21,1.23702793959624e-19,"ENSG00000140105"
82661.6460206682,-0.839341282317806,0.09012412442443,2.05061407182445e-21,1.57347544438887e-19,"ENSG00000168542"
2313.66024806985,-0.908933747682463,0.0981969123715871,2.13032914771035e-21,1.62302303547833e-19,"ENSG00000033867"
3609.49027468893,1.22603570223637,0.133251859376234,2.13318799583165e-21,1.62302303547833e-19,"ENSG00000084090"
648.338500370493,1.24172017429004,0.134901738156269,2.15320926967004e-21,1.63137267019707e-19,"ENSG00000185022"
620.187452036512,-1.10204781687511,0.119237052826393,2.20881298246222e-21,1.66649856484346e-19,"ENSG00000175130"
978.405343529915,1.09223642651094,0.118922610912442,3.3316602522862e-21,2.50318740288436e-19,"ENSG00000182552"
316.408984330112,1.26946314696008,0.13854417819327,3.60911914858597e-21,2.7003998542449e-19,"ENSG00000128311"
95.4180950879008,-2.93146074127491,0.32148069622155,4.07185486035374e-21,3.03403664635944e-19,"ENSG00000131771"
1443.51314094652,0.903604511519539,0.0985615899942997,4.74914305238391e-21,3.51109474750679e-19,"ENSG00000138604"
2205.71884823744,3.11758792969367,0.350033408783472,4.75103770181709e-21,3.51109474750679e-19,"ENSG00000157514"
21202.5278188393,0.826755448180318,0.0907936778043936,4.82855689837208e-21,3.55381787720185e-19,"ENSG00000129116"
1569.9043302201,1.3283594566373,0.146313319222291,5.3690576349459e-21,3.93556289729042e-19,"ENSG00000124151"
55.3639200859253,4.7788108889705,0.524039664507298,5.60326685334732e-21,4.09061165585258e-19,"ENSG00000100033"
1486.90383194881,1.08609358862984,0.119107112138677,5.63194730364318e-21,4.09497071690701e-19,"ENSG00000083223"
56.3185566347047,6.18516048872561,0.663215644871428,8.33219809334066e-21,6.03398377586823e-19,"ENSG00000250978"
2427.81163733981,1.11677866154008,0.123830870491341,1.03508906888985e-20,7.46589043608873e-19,"ENSG00000107796"
5566.23380548502,-0.748517083843611,0.0831141959087064,1.07208136038872e-20,7.70190083288021e-19,"ENSG00000116132"
2178.07637654574,1.21897459304882,0.135206786535995,1.14227753832318e-20,8.17363038533473e-19,"ENSG00000108604"
215.509146709287,-1.66349651585513,0.184673134638742,1.15438400014302e-20,8.22760960101934e-19,"ENSG00000117461"
107.651022394312,-2.16981999972786,0.242033145490359,1.3787003871797e-20,9.78768715811981e-19,"ENSG00000176771"
111.968421891278,-2.39404204810639,0.267421080881814,1.4784618308472e-20,1.04547544054262e-18,"ENSG00000116711"
1335.0168908566,1.41883136693066,0.159108965322197,1.956125302602e-20,1.37784576002029e-18,"ENSG00000172260"
808.739883006461,-1.19919845687961,0.134262980969955,2.39645042459264e-20,1.68143167534064e-18,"ENSG00000196950"
401.591844664341,-1.17578213775352,0.13115210236002,2.46743884440703e-20,1.72452935047859e-18,"ENSG00000171132"
3226.46757902218,0.870790570896501,0.0968963169822161,2.66669562323643e-20,1.85659673661001e-18,"ENSG00000169764"
1373.78260959158,0.825353281065453,0.091642191374649,2.81136574473247e-20,1.94979027342369e-18,"ENSG00000186594"
4198.98318522714,1.04176874760733,0.116642233049814,3.27638653597185e-20,2.26359394699787e-18,"ENSG00000166825"
237.71394326956,-1.62608011033742,0.183093591240904,3.3658873506619e-20,2.31655269874562e-18,"ENSG00000185745"
616.840955382529,-1.3062175479147,0.147061106778587,3.5505745693288e-20,2.43437112677326e-18,"ENSG00000169744"
213.790766497617,1.45813395685501,0.163837189003487,3.76306680253471e-20,2.57028865845855e-18,"ENSG00000170775"
560.682296319544,-1.00690234489666,0.112610008627802,3.81389561110937e-20,2.59517606262355e-18,"ENSG00000184254"
757.351666879608,1.02148303609455,0.114723620665944,4.68554038493447e-20,3.17630316620821e-18,"ENSG00000159212"
2782.51051142828,-0.961891636838612,0.10816236106649,4.80754444248412e-20,3.24680304819752e-18,"ENSG00000157613"
158.261075547043,-2.30618760735647,0.264900141995173,5.24117118575166e-20,3.52644771721918e-18,"ENSG00000108830"
1863.01156748752,0.984745352167277,0.110751534500613,5.57746390113942e-20,3.73876687975264e-18,"ENSG00000221968"
115.96591423188,2.95607516487058,0.340058685216207,5.63181045755238e-20,3.76121504335498e-18,"ENSG00000174697"
1588.44163127645,1.52319264357395,0.173989996363203,6.3367154953999e-20,4.21637098941147e-18,"ENSG00000162878"
6814.37210819492,0.72901391061567,0.0821346499291018,8.02851890690134e-20,5.30878639836345e-18,"ENSG00000113719"
158.28377408095,2.07325310176421,0.23787499786546,8.03737071180802e-20,5.30878639836345e-18,"ENSG00000137393"
9435.94331671769,1.44762543262214,0.166445368548406,1.09329495079037e-19,7.19499801191679e-18,"ENSG00000116962"
45.6803014022667,4.02169706865835,0.458068130087671,1.25019719146002e-19,8.19765663869351e-18,"ENSG00000152779"
3865.24060485268,1.16545650731749,0.133537441821201,1.33443724102327e-19,8.71832330801869e-18,"ENSG00000115419"
435.943594470857,1.18028031803276,0.134775181680193,1.46885209513548e-19,9.56185594927182e-18,"ENSG00000138074"
2397.11331568642,0.996787242596999,0.113667644159714,1.52703835628852e-19,9.90487612971026e-18,"ENSG00000154262"
3379.38639924634,0.735412353232309,0.0832489467966178,1.6188337742859e-19,1.04626561354564e-17,"ENSG00000114853"
1601.7555877638,0.925083006427257,0.105404329168449,1.67094518271532e-19,1.07608869766867e-17,"ENSG00000165802"
799.898404893444,0.87189789666218,0.0990970603322479,1.6942293034091e-19,1.08720081135491e-17,"ENSG00000172985"
134.644122117327,2.39082977050647,0.276978721751995,1.7599837933824e-19,1.12539105539969e-17,"ENSG00000197769"
67.2428116114968,10.9962909119987,2.94569358895105,1.8524895075982e-19,1.18035656540674e-17,"ENSG00000179593"
412.639827468157,1.32786535867318,0.153010223907324,2.08424243764467e-19,1.31914439230975e-17,"ENSG00000074590"
1279.9902328612,-0.857634034802236,0.097769670768909,2.0849387300814e-19,1.31914439230975e-17,"ENSG00000109654"
382.017664708123,1.24916287959172,0.14354671801412,2.29663608253709e-19,1.44800495945136e-17,"ENSG00000168556"
2970.45205768781,0.877885831464758,0.100249849840739,2.34149965904059e-19,1.47114710285087e-17,"ENSG00000157110"
879.785486345189,1.00926552687037,0.116193488786205,2.73762032092937e-19,1.71405450093744e-17,"ENSG00000137767"
6269.06725805806,0.794949307325698,0.0910677069530139,3.23650848195714e-19,2.01940210888066e-17,"ENSG00000162545"
2078.3873287699,0.908716903098542,0.104690764778124,4.23079068007938e-19,2.6306764670066e-17,"ENSG00000019995"
13692.6914274149,-0.877107467530696,0.100788726641502,4.74425877807225e-19,2.93981011292779e-17,"ENSG00000139329"
871.097579837597,0.831565454823668,0.0957077714532143,4.77017343946635e-19,2.94574546097456e-17,"ENSG00000139567"
780.765443622072,1.36832527408698,0.159988594727129,5.45509214475037e-19,3.35720892676241e-17,"ENSG00000103064"
714.292422694761,-1.1803447763681,0.137287231800312,5.64764087488578e-19,3.4521444154556e-17,"ENSG00000075213"
318.946955566927,-1.15865770457927,0.134337822936343,5.62992178312588e-19,3.4521444154556e-17,"ENSG00000143507"
1123.66408211984,-0.928451963755648,0.107663195293914,6.75493145485016e-19,4.11503121600872e-17,"ENSG00000131080"
241.926412638281,-1.44946107290702,0.1695210704257,7.14131670492222e-19,4.33576507822079e-17,"ENSG00000170989"
762.961512159273,-0.899214401414707,0.104290962594431,7.29426362164723e-19,4.41376381293768e-17,"ENSG00000146411"
193.710165838978,-1.64488293414677,0.192896932623999,7.42397733811595e-19,4.47722941006377e-17,"ENSG00000183876"
672.616210072833,-1.18680666916712,0.138947580689095,8.4075440665198e-19,5.05349448691617e-17,"ENSG00000126785"
724.584165165788,-1.26664952831382,0.148606037207289,8.49935360891245e-19,5.09170578989732e-17,"ENSG00000135069"
940.08616344073,0.874038737599715,0.101309677734501,8.61500632539096e-19,5.1439004655447e-17,"ENSG00000135048"
25279.20150276,0.654751666882601,0.0755936959109023,8.78569598471116e-19,5.22850396027431e-17,"ENSG00000182718"
1106.4991291192,-1.07745978958442,0.126089287601891,9.35744960200834e-19,5.55044510603337e-17,"ENSG00000070882"
1852.05622687872,0.811771640249281,0.0943451217326105,9.44326763957376e-19,5.58298367464898e-17,"ENSG00000187239"
536.65948634498,1.10830879929532,0.129468622706226,9.54459928550527e-19,5.60737064511024e-17,"ENSG00000107968"
2077.73631304357,0.883124335545774,0.102814977181754,9.5467102265353e-19,5.60737064511024e-17,"ENSG00000169926"
3000.68872648389,0.908066230170739,0.106525411982876,1.08503912757928e-18,6.35241089237326e-17,"ENSG00000144724"
237.044539587412,1.89324818619014,0.224646982503902,1.093959956471e-18,6.38391130585276e-17,"ENSG00000116194"
6210.56554932047,0.676328452590555,0.0783832634387366,1.14975908083424e-18,6.68070239724434e-17,"ENSG00000076513"
193.412946626173,-1.49015528227641,0.175256351235358,1.15222850795419e-18,6.68070239724434e-17,"ENSG00000111728"
70.3028660136772,2.29235964742763,0.270604239108037,1.24813171621029e-18,7.19051473057631e-17,"ENSG00000158246"
171.525899913249,-1.67214612850142,0.197439522786417,1.24656924168871e-18,7.19051473057631e-17,"ENSG00000183496"
4201.98848159895,0.869992254592674,0.101753846154947,1.35603449041499e-18,7.78726558317294e-17,"ENSG00000134871"
60.670427635757,2.64105462351074,0.313063035764319,1.93614167365033e-18,1.1083335447385e-16,"ENSG00000120162"
